learning_rate,gamma,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.0005,0.35,1.8616298012359245,0.9045417860247407,-0.26751375988794707
0.0005,0.3,1.8616269832211447,0.9045397406489336,-0.2675139172901308
0.0005,0.25,1.861623871000567,0.9045373910566962,-0.2675141234350636
0.0005,0.2,1.8616204568605983,0.9045346363881338,-0.26751440176330893
0.001,0.35,1.861608566417638,0.9045267524271908,-0.26751469934091077
0.001,0.3,1.861602930706932,0.9045226618131267,-0.26751501412029244
0.001,0.25,1.8615967066500674,0.9045179627919117,-0.2675154263737657
0.001,0.2,1.8615898788525098,0.9045124536567026,-0.2675159829789429
0.002,0.35,1.8615661024351478,0.9044966877257486,-0.2675165783698435
0.002,0.3,1.8615548322885864,0.9044885070473827,-0.2675172078287712
0.002,0.25,1.8615423857113718,0.9044791096573924,-0.26751803219031245
0.002,0.2,1.861528732044824,0.9044680921937532,-0.2675191451956661
0.003,0.35,1.8615236459876858,0.9044666263468194,-0.2675184575628742
0.003,0.3,1.861506742679056,0.9044543561530061,-0.2675194016017418
0.003,0.25,1.8614880751165752,0.9044402610454381,-0.26752063792628455
0.003,0.2,1.8614675975077184,0.9044237360584708,-0.26752230712728653
