learning_rate,smoothing,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.05,0.0,1.8616510379396327,0.9045568204539624,-0.26751282047596764
0.1,0.0,1.8616510379396327,0.9045568204539624,-0.26751282047596764
0.2,0.0,1.8616510379396327,0.9045568204539624,-0.26751282047596764
0.15,0.0,1.8616510379396327,0.9045568204539624,-0.26751282047596764
0.05,0.1,1.8622929928088503,0.9039627079482102,-0.26743288776868573
0.05,0.2,1.8629360421673133,0.9033689281778287,-0.26735272322950865
0.1,0.1,1.8629360421673105,0.9033689281778257,-0.2673527232295076
0.15,0.1,1.863580152570324,0.902775487460411,-0.2672723300731701
0.2,0.1,1.864225290325809,0.9021823919846922,-0.26719171152702714
0.1,0.2,1.8642252903258114,0.9021823919846904,-0.2671917115270269
0.15,0.2,1.8655185119006208,0.9009972608338093,-0.26702981123652714
0.2,0.2,1.866815432482364,0.8998135814352993,-0.26686704842084086
