beta,delta,ridge_const,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.13,0.85,0.015,2.6634719889238383,0.9558880684124048,-0.3843584226055845
0.11,0.925,0.015,4.811593033179154,0.9442101404755082,-0.2803060848384951
0.11,0.95,0.015,4.887518409106194,0.941797911277028,-0.27277698110855947
0.13,0.9,0.015,3.209060849167578,0.9374693111955386,-0.3974955198689655
0.07,0.95,0.01,4.905962144802979,0.9299798854796796,-0.29017719284117155
0.13,0.925,0.015,3.5368378481361384,0.9210734000238554,-0.40502164925274037
0.09,0.85,0.015,4.954949118426795,0.914312832054369,-0.27166110074081057
0.09,0.9,0.015,5.23160443462532,0.9079761569444156,-0.27088077706421293
0.13,0.95,0.015,3.8694628944378544,0.9072410681604056,-0.4107083242447572
0.09,0.925,0.015,5.191826494978282,0.9047952037453942,-0.2744594161254983
0.07,0.9,0.015,4.674950906022728,0.90470447789384,-0.2978643961334395
0.09,0.95,0.005,5.096366296686641,0.9037043642205903,-0.387302817152269
0.07,0.85,0.015,4.786292835050621,0.9027701621308978,-0.2996410919906135
0.09,0.95,0.015,5.195326393053586,0.9025739465541521,-0.27989561880514685
0.07,0.925,0.015,4.699318774772557,0.8975421642385992,-0.2938561953089606
0.11,0.925,0.01,4.881268519905619,0.893350831166161,-0.28298186658049007
0.09,0.925,0.01,5.230248795154078,0.8924185644195839,-0.3048291138708744
0.11,0.95,0.01,4.893364294657296,0.8909482784318555,-0.2865694281990163
0.09,0.95,0.01,5.151900752892827,0.8899816895070037,-0.313342112236934
0.11,0.85,0.015,4.229809141454547,0.8896416972880907,-0.41126289893210044
0.09,0.9,0.01,5.19214024379672,0.8890395242956088,-0.2982093608897322
0.09,0.85,0.01,5.187665828770139,0.8882026871441834,-0.29261173833005966
0.13,0.85,0.01,3.388721652253934,0.8877467184211547,-0.40914966100311856
0.07,0.95,0.015,4.741612218776528,0.8745048077033223,-0.2909730395745199
0.09,0.85,0.0075,5.20235011419858,0.8680555253527931,-0.3182616128332162
0.11,0.925,0.0075,4.85836161389273,0.8646919361906207,-0.30958264821052517
0.09,0.9,0.0075,5.238544542831982,0.8640205102472203,-0.32992289153152765
0.11,0.95,0.0075,4.921900234899096,0.863309045990533,-0.3130522030736527
0.07,0.95,0.0075,4.917701472046512,0.8624058227316127,-0.3574334996295823
0.09,0.925,0.0075,5.179665256603439,0.8597698280643347,-0.3376517555656748
0.09,0.95,0.0075,5.090096093417445,0.8536178001584529,-0.3471770828951075
0.11,0.9,0.015,4.528305246817528,0.8500940163918896,-0.4094995199014505
0.13,0.9,0.01,3.981177009523095,0.8481162902779327,-0.41403061298349453
0.09,0.925,0.005,5.119695530482827,0.8477539394441835,-0.37421124369837455
0.07,0.85,0.01,4.671928154676236,0.8417622776266457,-0.3482062755788765
0.13,0.925,0.01,4.120387459146025,0.8251773467164645,-0.414067565699786
0.07,0.85,0.0075,4.597958699140616,0.8250247617299136,-0.40069618735139556
0.13,0.85,0.0075,3.7827092284608774,0.8208921465339261,-0.41497902150585186
0.09,0.9,0.005,5.191768655445605,0.8137563317098815,-0.3603005662238667
0.07,0.9,0.0075,4.652789058045624,0.8074193408153769,-0.43065607678225015
0.07,0.925,0.01,4.696562757384708,0.8069453180317318,-0.36180470135738946
0.11,0.925,0.005,4.874541986967537,0.8043270717562445,-0.32461241164675236
0.13,0.95,0.01,4.210813246511959,0.8031871016021791,-0.41395392341309634
0.07,0.925,0.0075,4.74222769326987,0.7984927966470547,-0.4339898084760557
0.11,0.95,0.005,5.0318381290939165,0.7979559225282287,-0.32409039653494076
0.09,0.85,0.005,5.166340562760214,0.7932839106969627,-0.33117434700716564
0.07,0.9,0.01,4.621681125955257,0.7872216211217838,-0.3575277349585167
0.11,0.85,0.01,4.429365742567657,0.7808107045811028,-0.41339449825804114
0.13,0.9,0.0075,4.068686386550149,0.7802720786863188,-0.41497101688345095
0.13,0.925,0.0075,4.167056375636456,0.7627717088381213,-0.41471118638350307
0.11,0.9,0.01,4.617813062232276,0.7539497399953795,-0.40986427431562095
0.13,0.95,0.0075,4.343897296858029,0.7528798418046312,-0.4143015383458951
0.13,0.85,0.005,3.930735143192502,0.7522442946346595,-0.4158816803727866
0.11,0.85,0.0075,4.483881845637191,0.7375327389348537,-0.4132198837686136
0.13,0.9,0.005,4.14668286522961,0.7213603029601918,-0.4152261336439123
0.11,0.9,0.0075,4.6472079266952075,0.7152346169938858,-0.40874307061036597
0.13,0.925,0.005,4.333285086515377,0.7087341476751922,-0.4147775391701914
0.07,0.9,0.005,4.538497641067567,0.7059679586070652,-0.533828570351956
0.07,0.85,0.005,4.429467965824848,0.6995230230749987,-0.524704276252123
0.13,0.95,0.005,4.424810522788485,0.699008564677778,-0.41428433141346455
0.07,0.925,0.005,4.583749470004643,0.6918660078371446,-0.5463032343518287
0.11,0.85,0.005,4.536512799060256,0.6871938750574652,-0.41342623766679953
0.07,0.95,0.005,4.642940345336095,0.6670524949399238,-0.5452822347809622
0.11,0.9,0.005,4.624550458311635,0.66369261941269,-0.40632414396674665
