epsilon,C,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.9,10.0,5.087767619481512,1.7972553276022303,-0.2707053594970394
0.9,12.0,5.0876581371875425,1.797199057510992,-0.27070518866721344
0.9,8.0,5.087781153325087,1.7970091502326337,-0.2707419908423755
0.9,5.0,5.083054002924353,1.7944084416515036,-0.2708750853413078
0.8,12.0,5.489303823041816,1.7330352377572207,-0.29012186216347774
0.8,5.0,5.476058994191694,1.7325659449605983,-0.2902007868017922
0.8,8.0,5.486812394243367,1.7324350562846795,-0.2901735508369835
0.8,10.0,5.488154833080532,1.73240732055416,-0.29012976081899133
0.7,8.0,5.538776479397649,1.6758449698194653,-0.30451435029617535
0.7,10.0,5.542968691887932,1.6756870547904412,-0.30441790297605553
0.7,12.0,5.544966058368853,1.6754015601033754,-0.304310080456192
0.7,5.0,5.521045661038298,1.672472119895709,-0.30469530179242577
1.0,5.0,1.6285246245124874,1.293516379947212,-0.14427729430924896
1.0,8.0,1.6285246245124874,1.293516379947212,-0.14427729430924896
1.0,10.0,1.6285246245124874,1.293516379947212,-0.14427729430924896
1.0,12.0,1.6285246245124874,1.293516379947212,-0.14427729430924896
