sample_selection,portfolio_optimization,w,final_wealth,exp_growth,sharpe,ss_threshold,ss_num_neighbors,ss_rho,po_lambda,runtime_seconds
histogram_based_selection,markowitz_portfolio,4,501.1873726435841,0.0020592845407280203,1.1641519062834282,,,,0.7,3320.5356047153473
histogram_based_selection,semi_log_optimal_portfolio,4,610.4945475213648,0.002124633773548175,1.158444695641502,,,,,2308.572495698929
histogram_based_selection,markowitz_portfolio,4,578.2082620073419,0.00210663601148266,1.1494811969574987,,,,0.5,3396.1472992897034
histogram_based_selection,log_optimal_portfolio,4,598.7398497833301,0.0021181938377728598,1.1491573517599079,,,,,2366.784940958023
histogram_based_selection,markowitz_portfolio,3,426.68606595188936,0.002005978315431169,1.1173476504580773,,,,0.7,3307.1423399448395
histogram_based_selection,markowitz_portfolio,4,575.0128103738859,0.002104800370804997,1.1044070572338083,,,,0.3,3489.6180126667023
histogram_based_selection,markowitz_portfolio,3,469.03985680616074,0.0020373261832940036,1.0989806188595952,,,,0.5,1823.532935142517
histogram_based_selection,semi_log_optimal_portfolio,3,457.03855805392345,0.0020287405629163036,1.0937984251456736,,,,,2257.6516337394714
histogram_based_selection,log_optimal_portfolio,3,422.32031550348,0.002002571734874846,1.0765492266339942,,,,,2293.3911488056183
histogram_based_selection,markowitz_portfolio,3,470.7669831184788,0.002038543638162274,1.050673456517316,,,,0.3,1847.0975649356842
histogram_based_selection,markowitz_portfolio,5,166.7309897295986,0.0016947272850866561,0.9864436360476885,,,,0.7,3329.5086636543274
kernel_based_selection,markowitz_portfolio,5,34.53621743236206,0.0011732390043229927,0.9374118129148606,0.1,,,0.3,257.00734066963196
kernel_based_selection,semi_log_optimal_portfolio,5,34.35222143601019,0.0011714695883416728,0.936914419549551,0.1,,,,289.0886769294739
kernel_based_selection,log_optimal_portfolio,5,34.021538441830984,0.0011682655871591255,0.9343139651298032,0.1,,,,303.0425856113434
kernel_based_selection,markowitz_portfolio,5,33.82006471498129,0.0011662981970787562,0.9327367566511325,0.1,,,0.7,478.00814414024353
kernel_based_selection,markowitz_portfolio,5,33.81739781738371,0.0011662720763122726,0.9327160606006177,0.1,,,0.5,228.79394006729126
histogram_based_selection,markowitz_portfolio,5,127.5735864180272,0.0016060594059255035,0.9173346618255784,,,,0.5,3383.327343225479
histogram_based_selection,log_optimal_portfolio,5,115.62639242987629,0.001573489313811476,0.899352315143774,,,,,2339.853118419647
histogram_based_selection,semi_log_optimal_portfolio,5,111.42609482082752,0.001561232707656307,0.897299487190765,,,,,2319.8094441890717
histogram_based_selection,markowitz_portfolio,5,88.71833759616754,0.0014857458116005033,0.8405130629905327,,,,0.3,3452.0563485622406
kernel_based_selection,markowitz_portfolio,3,68.51134034995276,0.001400132257078477,0.7866988529445827,0.3,,,0.7,803.9020864963531
kernel_based_selection,log_optimal_portfolio,3,13.898825687597576,0.0008717470532166661,0.7849894986049839,0.1,,,,230.6961088180542
kernel_based_selection,semi_log_optimal_portfolio,3,13.898825524323467,0.0008717470493255329,0.7849894950162782,0.1,,,,855.1603553295135
kernel_based_selection,markowitz_portfolio,3,13.898824076741523,0.0008717470148268938,0.7849894447290892,0.1,,,0.7,154.76780939102173
kernel_based_selection,markowitz_portfolio,3,13.847781643652464,0.0008705283370888856,0.7837914506864152,0.1,,,0.3,230.36486792564392
kernel_based_selection,markowitz_portfolio,3,13.847779726344237,0.0008705282912273444,0.7837914061434401,0.1,,,0.5,165.23574256896973
kernel_based_selection,log_optimal_portfolio,3,63.68883381695869,0.001375955367312057,0.7742734705992419,0.3,,,,2010.6446902751923
kernel_based_selection,markowitz_portfolio,3,64.0885655364213,0.0013780278116087945,0.7741207433098468,0.3,,,0.3,1252.669239282608
kernel_based_selection,markowitz_portfolio,3,62.35610604021592,0.001368950513087293,0.7718162884222589,0.3,,,0.5,1245.9465563297272
kernel_based_selection,semi_log_optimal_portfolio,3,60.53429899680805,0.0013591288936609088,0.7679642851336556,0.3,,,,1159.9811940193176
kernel_based_selection,markowitz_portfolio,4,13.542145595796054,0.0008631357132926671,0.7541938790431378,0.1,,,0.3,170.08427357673645
kernel_based_selection,semi_log_optimal_portfolio,4,13.405173899267528,0.0008597683816894635,0.7510078583275667,0.1,,,,276.98277139663696
kernel_based_selection,log_optimal_portfolio,4,13.405167485543096,0.0008597682232093276,0.7510077002546189,0.1,,,,261.1410505771637
kernel_based_selection,markowitz_portfolio,4,13.405112038831279,0.0008597668531438074,0.7510062975813175,0.1,,,0.7,501.251672744751
kernel_based_selection,markowitz_portfolio,4,13.405107131465716,0.0008597667318845431,0.7510061781600814,0.1,,,0.5,495.4846577644348
kernel_based_selection,markowitz_portfolio,5,16.238623534278272,0.0009232833962901311,0.5897179576238774,0.2,,,0.7,404.8763370513916
kernel_based_selection,markowitz_portfolio,5,15.08279322313881,0.0008988256284948666,0.5798924778229033,0.2,,,0.5,454.56154108047485
kernel_based_selection,semi_log_optimal_portfolio,5,12.696246911916536,0.0008417709278050833,0.5570259743358731,0.2,,,,699.6231110095978
kernel_based_selection,markowitz_portfolio,3,10.018495365996838,0.0007633100103699727,0.5424193047305662,0.2,,,0.7,1013.7309544086456
kernel_based_selection,log_optimal_portfolio,5,11.246212748743858,0.0008016003403169356,0.5409629414241826,0.2,,,,549.4217207431793
kernel_based_selection,markowitz_portfolio,5,9.641130671467364,0.0007505923787068147,0.5217995499856836,0.2,,,0.3,688.4769961833954
kernel_based_selection,markowitz_portfolio,3,8.832551677649011,0.0007215779897601531,0.5184326199033408,0.2,,,0.5,484.6587903499603
kernel_based_selection,semi_log_optimal_portfolio,3,8.599448794095204,0.0007127188166596597,0.5133978519750148,0.2,,,,1572.4227378368378
kernel_based_selection,markowitz_portfolio,3,8.372660138867971,0.000703866065674612,0.5084311582194352,0.2,,,0.3,386.3475298881531
kernel_based_selection,log_optimal_portfolio,3,7.933269896199389,0.0006860103662470888,0.49840789491153564,0.2,,,,598.2239410877228
kernel_based_selection,markowitz_portfolio,5,2.799662173447965,0.00034100654440611685,0.426220161884293,0.3,,,0.7,451.76144313812256
kernel_based_selection,markowitz_portfolio,5,2.5300384678574783,0.00030746422898661447,0.42556544894207676,0.3,,,0.3,516.8763391971588
kernel_based_selection,markowitz_portfolio,5,2.646120402043288,0.0003223234740229331,0.42517062071465367,0.3,,,0.5,503.5845808982849
kernel_based_selection,markowitz_portfolio,4,5.05835767766421,0.0005369466250359961,0.42298452691359406,0.2,,,0.7,979.5102248191833
kernel_based_selection,log_optimal_portfolio,5,2.523916922735459,0.0003066618182228218,0.421521638477485,0.3,,,,1052.4784812927246
kernel_based_selection,semi_log_optimal_portfolio,5,2.3226980084066726,0.00027914191608200014,0.41209124796835367,0.3,,,,1107.6824643611908
kernel_based_selection,markowitz_portfolio,4,4.520988879692758,0.0004997451966242661,0.4056163981461855,0.2,,,0.5,998.5063779354095
kernel_based_selection,log_optimal_portfolio,4,4.275904427096409,0.00048128375021747554,0.3974062705029372,0.2,,,,644.7165939807892
kernel_based_selection,semi_log_optimal_portfolio,4,4.1947625533290145,0.00047493764028215914,0.3941036364618397,0.2,,,,659.2644593715668
kernel_based_selection,markowitz_portfolio,4,3.427763871222378,0.0004080517111590477,0.36314685715672307,0.2,,,0.3,547.098002910614
kernel_based_selection,markowitz_portfolio,4,0.9937532036096065,-2.075650632890724e-06,0.2942546133787116,0.3,,,0.7,782.5986347198486
kernel_based_selection,markowitz_portfolio,4,0.7850461399591288,-8.01632281911333e-05,0.27461588382007185,0.3,,,0.5,813.330278635025
kernel_based_selection,log_optimal_portfolio,4,0.6505989215277519,-0.00014238553249492817,0.25716539188831083,0.3,,,,1054.2958340644836
kernel_based_selection,markowitz_portfolio,4,0.6042202951387311,-0.00016688188820575863,0.2518814247588399,0.3,,,0.3,820.9221580028534
kernel_based_selection,semi_log_optimal_portfolio,4,0.6292266278208176,-0.0001534494165523013,0.2516006387386699,0.3,,,,1093.0614264011383
