num_portfolios,tau,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
5,0.5,1.8876090054916215,0.9302450644586621,-0.2648000343770069
20,2.0,1.8862038715616627,0.9222930741833556,-0.2646142491165345
10,2.0,1.867126534707093,0.9220740429540918,-0.26320515603961275
5,2.0,1.9227103259592593,0.919069148889578,-0.2682490356915874
100,1.0,1.8582763972261567,0.9109959525130744,-0.26624206816099966
20,0.5,1.8770157770633165,0.9099590048237305,-0.2639678330419889
10,0.3,1.8693160040256935,0.9093936958603441,-0.2694047418842945
20,0.3,1.8654432211384084,0.9093582017487704,-0.2687983217918853
50,0.5,1.8518688492189057,0.9088818848597642,-0.26851038160530266
50,0.05,1.8646739937180272,0.9074018656332369,-0.26604773327758846
10,0.5,1.856999760272498,0.9068750755343716,-0.27059572298467927
100,0.5,1.8672496873012268,0.9061291185590417,-0.26839785798401233
20,0.05,1.883047192414486,0.9058208122531479,-0.26978732642053577
100,0.3,1.8666969573163836,0.904671159393002,-0.2670575634098383
50,0.1,1.8539352503173283,0.9046511653331629,-0.26805041117039896
50,2.0,1.8758230844770385,0.9042875137044539,-0.2674631008209765
100,0.1,1.8523482740432837,0.9037881236881329,-0.268161442035152
20,0.1,1.839017892167315,0.9024893750156956,-0.2664550446860428
100,0.05,1.8495379506833458,0.9012874552099609,-0.26851441334063625
20,5.0,1.8703269315183575,0.9007400436534951,-0.2627112091265874
5,0.1,1.844748717450533,0.9006580016202955,-0.2658156073299778
10,0.05,1.8357607307827983,0.9003270372181925,-0.26603039269886963
100,2.0,1.8438689568292261,0.8977528012256805,-0.26804468188351027
100,5.0,1.8766568479415793,0.8973532727214971,-0.26816616353918754
5,0.05,1.8062181339957282,0.897052453654517,-0.2669592237650278
50,0.3,1.870384560758938,0.8957464159721658,-0.27003534416057456
50,1.0,1.8561974777674202,0.89343359250272,-0.2679340664149822
5,0.3,1.9024412190605666,0.8905418070608506,-0.2736732529842723
10,0.1,1.8570348208273881,0.8894807473550387,-0.26759399973117465
20,1.0,1.8568797268698858,0.8890457678874855,-0.26972650203585846
50,5.0,1.850563277813387,0.8857880501598935,-0.26663934514931636
5,1.0,1.8570004975761976,0.8792917979194147,-0.26199885326328054
10,5.0,1.8591690098185467,0.8790554444115317,-0.26975809624737945
10,1.0,1.8464264486936905,0.8706088106183648,-0.26151869038962594
5,5.0,1.7853593633968092,0.8674339060215743,-0.27079904237588714
