algorithm,num_portfolios,tau,final_wealth,exp_growth,sharpe
universal_portfolios,4,0.5,14.189929602813821,0.0008786129612844092,0.8000567277819673
universal_portfolios,3,0.3,12.868367710219447,0.0008462312635050594,0.7928164227821127
universal_portfolios,3,0.2,12.602285053453652,0.0008393104176759146,0.7911337222432521
universal_portfolios,3,0.5,13.259857279750603,0.0008561580727006948,0.7887340401187035
universal_portfolios,5,3.0,14.06460003036208,0.0008756743969220334,0.7858824330710429
universal_portfolios,10,3.0,13.371520410220496,0.0008589357743260574,0.7818798629966491
universal_portfolios,20,0.4,12.681286430361293,0.0008413803899839505,0.780150716212785
universal_portfolios,3,3.0,13.043092105608906,0.0008506984607658687,0.7742623312297919
universal_portfolios,4,0.3,12.396920844490477,0.0008338682089374037,0.7729590918366104
universal_portfolios,10,0.2,13.190025904593133,0.0008544090528931162,0.7684870399427559
universal_portfolios,20,0.1,12.818220285705689,0.000844937932622655,0.7667038227022752
universal_portfolios,100,0.1,12.33077722666558,0.0008320961744301071,0.762837675990766
universal_portfolios,10,0.1,12.515783779492637,0.0008370289997116591,0.7613400399529174
universal_portfolios,20,0.2,12.165798756694002,0.0008276345261045455,0.7612705025768932
universal_portfolios,10,0.3,12.462889654976417,0.000835626167935039,0.7611037442810118
universal_portfolios,4,0.4,12.330320252538359,0.0008320838987349544,0.7597990165929414
universal_portfolios,2,0.2,13.105357989388848,0.0008522759699934388,0.7595427675585869
universal_portfolios,100,0.4,12.293245341967552,0.0008310864366828774,0.7581296129856806
universal_portfolios,2,0.1,12.097484489788979,0.0008257693069175212,0.7580021710143803
universal_portfolios,3,0.1,12.21844762162437,0.0008290648922822424,0.7579411910984724
universal_portfolios,20,0.05,12.033496208235336,0.0008240126240111095,0.757671513923565
universal_portfolios,100,0.05,12.038878203512395,0.0008241607363610808,0.7576414357478771
universal_portfolios,50,0.5,12.260082235766921,0.0008301916654964453,0.7570031596194482
universal_portfolios,20,3.0,12.388968165896951,0.000833655651733849,0.7566825423432931
universal_portfolios,50,3.0,12.384205655275478,0.0008335282952103766,0.755815341694041
universal_portfolios,2,0.4,11.756566660322328,0.000816300745012166,0.7556669565747334
universal_portfolios,100,0.3,12.129614931397045,0.0008266478891379784,0.7556594616924126
universal_portfolios,50,0.3,12.29482522285661,0.0008311290030687933,0.755355688206311
universal_portfolios,50,0.2,12.196064084726144,0.0008284575302025234,0.7551838822750283
universal_portfolios,4,0.05,13.258472484501077,0.0008561234782625786,0.755147719585699
universal_portfolios,20,0.3,12.028071052571411,0.0008238632568310157,0.7547990221973397
universal_portfolios,50,0.05,12.096082641164427,0.0008257309213384187,0.7544293063401736
universal_portfolios,100,0.2,12.055091791312819,0.0008246065339453416,0.7528617842025244
universal_portfolios,20,0.5,12.229564340844396,0.0008293661235154843,0.7527824081863507
universal_portfolios,10,0.5,11.871056563349233,0.0008195108366659328,0.7520212089799504
universal_portfolios,100,3.0,12.080859718208025,0.0008253137988407173,0.7515480980549015
universal_portfolios,5,0.4,11.93575869475834,0.0008213113039632609,0.7503926942540264
universal_portfolios,10,0.05,11.940024470106266,0.0008214296645859528,0.7495146393487556
universal_portfolios,50,0.4,11.925970387436783,0.0008210395520610264,0.7491608544639717
universal_portfolios,2,0.3,12.944316534917414,0.0008481804618078918,0.7466562358221781
universal_portfolios,50,0.1,11.639615155376267,0.0008129891949333639,0.7442221405256816
universal_portfolios,2,3.0,10.991124837070181,0.0007940007002781807,0.7439249339645175
universal_portfolios,4,3.0,12.288578370714292,0.0008309606635398738,0.7438823898677911
universal_portfolios,100,0.5,11.733565427830511,0.0008156520617824823,0.7426191496343364
universal_portfolios,3,0.05,11.23476325120758,0.0008012629456712764,0.7415636449410755
universal_portfolios,5,0.5,11.688001924760485,0.000814363312065826,0.7409911464828367
universal_portfolios,5,0.2,12.512802228271157,0.000836950082297853,0.7393554219172853
universal_portfolios,4,0.2,11.725256294703227,0.0008154174140168087,0.7362995701876897
universal_portfolios,5,0.1,11.834004884902578,0.0008184753749717887,0.7344576007681229
universal_portfolios,2,0.05,11.463286382876381,0.000807932904955439,0.7312192440154521
universal_portfolios,3,0.4,10.799261340475736,0.000788167518181774,0.7272957056291806
universal_portfolios,5,0.3,11.473184468026288,0.0008082187900414326,0.726256015242715
universal_portfolios,4,0.1,10.92079076830082,0.000791874257162804,0.7217800786636105
universal_portfolios,5,0.05,11.094537579570066,0.0007971026423464078,0.7152221991926873
universal_portfolios,10,0.4,11.091092582233552,0.0007969997734672994,0.7135281470453264
universal_portfolios,2,0.5,11.744152413045878,0.0008159507948784495,0.7118641242843454
